nombre_natacion,depto,telefono_natacion,lat,lon
Club de Natación Flor Blanca,SAN SALVADOR,+503 2502 4220,13.6974367,-89.2160071
Aqua Center,SAN SALVADOR,+503 2263 8797,13.6986986,-89.2402301
Club de Natación Zeus.,SAN SALVADOR,+503 7649 0591,13.7242307,-89.2124766
Splash KIDS,SAN SALVADOR,+503 2564 2913,13.7004657,-89.2454081
"Piscina Olímpica, Estadio Mágico González",SAN SALVADOR,+503 2512 6748,13.6973792,-89.2160667
COLPROCE,SAN SALVADOR,+503 2273 4105,13.6824461,-89.2324635
Circulo Deportivo Internacional,SAN SALVADOR,+503 2528 3700,13.695425,-89.227388
Clases de natación y futbol,SAN SALVADOR,+503 7880 4527,13.7075162,-89.2317941
Hidronasia,SAN SALVADOR,+503 2284 1239,13.7258396,-89.2266616
Instituto Técnico Ricaldone,SAN SALVADOR,+503 2234 6000,13.7237487,-89.2049171
Colegio Cristobal Colon,SAN SALVADOR,+503 2225 2320,13.7151482,-89.2098615
Parque Colonia Ciudad Satelite,SAN SALVADOR,+503 2511 6000 ext. 1378,13.7215819,-89.216165
Centro Cultural FUSALMO,SAN SALVADOR,+503 2259 2038,13.7177572,-89.1511306
Polideportivo Jardines de San Marcos,SAN SALVADOR,-,13.6632298,-89.1886139
Polideportivo Nejapa Vitoria Gasteiz,SAN SALVADOR,+503 2201 0178,13.8174559,-89.2283591
Polideportivo Don Bosco,SAN SALVADOR,+503 2259 2000,13.7174357,-89.1403627
Polideportivo De Tonacatepeque,SAN SALVADOR,-,13.7830319,-89.1200005
Apulo piscina,SAN SALVADOR,-,13.7022335,-89.0760692
Club Salvadoreño Corinto,SAN SALVADOR,+503 2304 0195,13.7055325,-89.0522361
"Club Círculo Militar, El Salvador",SAN SALVADOR,+503 2555 5000,13.6892404,-89.2308044
Piscinas Municipales De Santa Elena,USULUTÁN,-,13.3785308,-88.4134556
J.E.J Deportes,USULUTÁN,+503 2624 9224,13.3457659,-88.4364842
Injuve Usulutan,USULUTÁN,+503 7470 4796,13.3329494,-88.4397858
Club Costa Del Sol Circulo Militar El Salvador,USULUTÁN,+503 2338 0323,13.2931686,-88.8954738
Club Marina del Sol,USULUTÁN,-,13.3089674,-88.923596
"Club Joya Del Pacifico, Costa del Sol-EL Salvador",USULUTÁN,+503 2223 0077,13.3162278,-88.9386929
Piscinas Publicas de Mercedes Umaña,USULUTÁN,-,13.5673263,-88.4891764
Complejo Deportivo Germany,AHUACHAPAN,--,13.956527196614,-89.8494958895753
SWIM AMERICA EL SALVADOR,LA LIBERTAD,2312-8251,13.656849440631,-89.2671653410296
Polideportivo Ciudad Merliot,LA LIBERTAD,2278-8316,13.6929586784048,-89.2613538906299
INJUVE San Miguel,SAN MIGUEL,2660-3724,13.4943031874829,-88.1761820949076
Club Deportivo Santaneco,SANTA ANA,2247-9950,13.963935409978,-89.5409756598175
APAC Santa Ana,SANTA ANA,2565-1500,13.9679334969894,-89.5651799142807
FUSALMO Santa Ana,SANTA ANA,2259-2034,13.9788545153948,-89.5501116611036
INDES – Finca Modelo,SANTA ANA,2247-0049,13.9992174647902,-89.5660061690369
Centro Recrerativo ACACESPSA,SANTA ANA,2487-2883,13.963983881613,-89.5418131840899
Piscinas El Mangal,CUSCATLAN,7256-0128,13.9456042876199,-89.0179317557844
Balneario Los Encantos del Duende,CUSCATLAN,--,13.6872725859239,-88.926072066749
Mundo Acuático,MORAZÁN,--,13.8078541537733,-88.1626975830999
Piscinas Maranata,MORAZÁN,--,13.770176769833,-88.2804572892116
Estadio José Gregorio Matrtínez,CHALATENANGO,--,14.0546025491103,-88.969008691306
Estadio Jiboa,SAN VICENTE,--,13.662435180891,-88.7864249263919
Cancha El Tablón,SAN VICENTE,--,13.671669421135,-88.8713923532184
Cancha El Carmen,SAN VICENTE,--,13.6735560123762,-88.8801351864218
Polideportivo Las Marias,LA UNION,--,13.6273265017284,-87.973251963163
Cancha Club Deportivo Rayos de Plata,LA UNION,--,13.5718576274739,-88.0229166162212
Club Deportivo Femenino,LA UNION,--,13.3617107843657,-87.893869029577
Cancha de Beisbol,LA UNION,--,13.34455205523,-87.8515591765346
Polideportivo Municipal de San Rafael Obrajuelo,LA PAZ,7971-7961,13.5013179479709,-88.9292646124153
Parque Acuático Ichanmichen,LA PAZ,--,13.4949521781894,-88.8776882732086
Manantiales de Jiboa,LA PAZ,--,13.4966086277633,-89.007500979991
Polideportivo 27 de Septiembre,LA PAZ,--,13.5169892913506,-88.8707073797406
Piscina de Agua Salada,SONSONATE,,13.5310583827467,-89.8168783262208
La Piscina de Tobal,SONSONATE,--,13.6721265967095,-89.5614327215775
Piscina familiar Atecozol,SONSONATE,--,13.7450521012062,-89.6698339380682
Peñas del Coban,SONSONATE,--,13.7233900797442,-89.7405925389819
