depto,nombre,telefono,lat,lon
Ahuachapan,Gym Las Brisas,-,13.9443253072236,-89.8594562518961
Ahuachapan,Wally Sport Fitness Gym,-,13.9258936629636,-89.8497395129996
Ahuachapan,Viva Bike Ahuachapan,-,13.9244193040474,-89.8479167119484
Ahuachapan,Train Hard Gym,-,13.9234529255528,-89.8466361097051
Ahuachapan,Sculpture Gym,-,13.9179653508136,-89.8483673297322
Ahuachapan,Ata's Gym,7057-3543,13.8619658928648,-89.7968934960089
Ahuachapan,Life Gym,7245-8572,13.9748031947683,-89.699913334183
Ahuachapan,Ufc Gym United for Christ,-,13.973418271206,-89.7607758383473
Ahuachapan,Roca Gym,-,13.9752231533575,-89.7567516296724
Ahuachapan,JyJ FITNESS GYM,-,13.9742058578848,-89.753031772914
Sonsonate,Home Gym,-,13.589547335638,-89.8304934276411
Sonsonate,Ironman Gym,-,13.5958613616136,-89.8207939630562
Sonsonate,Domo Deportivo Sonsonateco,-,13.6881022814625,-89.7360576882767
Sonsonate,JV Fitness Center,-,13.709349599409,-89.7189292028882
Sonsonate,Gimnasio Brizuela,-,13.7204925294609,-89.7366694198977
Sonsonate,Sport City,-,13.7213884392869,-89.7206990922684
Sonsonate,Yolis Gym,-,13.7216049474768,-89.7258993644924
Sonsonate,Gimnasio Municipal De Sonsonate,-,13.7286774387977,-89.7242649925958
Sonsonate,GET FIT GYM,-,13.7254608407493,-89.7175306893627
Sonsonate,train hard gym,-,13.727494128984,-89.7149684866467
Sonsonate,Gimnasio Municipal De Sonzacate,-,13.7372480564188,-89.7138419168029
Sonsonate,INJUVE (Circulo Estudiantil de Sonsonate),-,13.7316415382317,-89.730828490885
Sonsonate,Hollywood Gym,-,13.7516044070332,-89.6664098414709
Sonsonate,Train Hard Gym Juayua,-,13.8425987670056,-89.7428551483021
La Libertad,Palometos GYM,-,13.4950330691756,-89.2877041094059
La Libertad,LEONIDAS GYM,-,13.8435752288219,-89.4444652005094
La Libertad,Personal Gym,-,13.850572466044,-89.4073093313602
La Libertad,Gimnasio Sitio Del Niño,7854-9753,13.7923649376192,-89.3491973259428
La Libertad,Olympus Gym,-,13.6808333037082,-89.2842178094746
La Libertad,Body Impact Merliot,2266-2888,13.6779813839667,-89.2712974554071
La Libertad,HIIT EL SALVADOR,2229-4085,13.6815027973933,-89.2523953182927
La Libertad,Be Fit  La Gran Via,2278-5858,13.6783267347209,-89.2529253925533
La Libertad,Fit Life GyM,2249-0044,13.6592509508679,-89.2776805065304
La Libertad,World Gym El Salvador,2243-4142,13.6647008630971,-89.2670982401177
La Libertad,Body Impact,2564-2694,13.6676828372005,-89.2505899045138
San Miguel,"Gimnasio ""Silver Gym""",2646-1185,13.4588338684837,-88.1645755977716
San Miguel,Planet Fitness Gym,2697-0290,13.466488771576,-88.1720516133585
San Miguel,Gimnasio Gladiador,,13.474868214261,-88.1721787373202
San Miguel,Nautiluss Gym San Miguel,2639-0803,13.4741017005116,-88.1832136793774
San Miguel,Muros gym,-,13.4762270280507,-88.1772662755414
San Miguel,Gimnasio Santa Sofia,-,13.4799898569402,-88.1791293183857
San Miguel,Gimnasio Femenino Paola,-,13.4821151321315,-88.181135671487
San Miguel,LIONS GYM,7570-3547,13.4876198553998,-88.1663029896309
San Miguel,Adlery Gym,-,13.4882469677245,-88.1703156958335
San Miguel,Iron Gym,-,13.4877940534329,-88.1898059831033
San Miguel,Blij's Gym,7581-5786,13.4963012837341,-88.1726656418905
